grupo,idioma,linea,atributos_completos
HOME,es,784,"{""tag"":""img"",""line"":784,""alt"":""Patines en línea de alquiler en RSB en Vila Olímpica, Barcelona"",""decoding"":""async"",""height"":""533"",""loading"":""lazy"",""sizes"":""(max-width: 640px) 92vw, (max-width: 1024px) 44vw, 420px"",""src"":""https://rentalscooterbarcelona.com/images/rsb-inline-skates-rental-barcelona-vila-olimpica-800.webp"",""srcset"":""https://rentalscooterbarcelona.com/images/rsb-inline-skates-rental-barcelona-vila-olimpica-480.webp 480w, https://rentalscooterbarcelona.com/images/rsb-inline-skates-rental-barcelona-vila-olimpica-800.webp 800w"",""width"":""800""}"
HOME,es,812,"{""tag"":""img"",""line"":812,""alt"":""Bicicleta urbana de alquiler en RSB en Vila Olímpica, Barcelona"",""decoding"":""async"",""height"":""533"",""loading"":""lazy"",""sizes"":""(max-width: 640px) 92vw, (max-width: 1024px) 44vw, 420px"",""src"":""https://rentalscooterbarcelona.com/images/rsb-bike-rental-barcelona-vila-olimpica-800.webp"",""srcset"":""https://rentalscooterbarcelona.com/images/rsb-bike-rental-barcelona-vila-olimpica-480.webp 480w, https://rentalscooterbarcelona.com/images/rsb-bike-rental-barcelona-vila-olimpica-800.webp 800w"",""width"":""800""}"
HOME,es,840,"{""tag"":""img"",""line"":840,""alt"":""Patines de cuatro ruedas para alquilar en RSB en Vila Olímpica, Barcelona"",""decoding"":""async"",""height"":""533"",""loading"":""lazy"",""sizes"":""(max-width: 640px) 92vw, (max-width: 1024px) 44vw, 420px"",""src"":""https://rentalscooterbarcelona.com/images/rsb-quad-skates-rental-barcelona-vila-olimpica-800.webp"",""srcset"":""https://rentalscooterbarcelona.com/images/rsb-quad-skates-rental-barcelona-vila-olimpica-480.webp 480w, https://rentalscooterbarcelona.com/images/rsb-quad-skates-rental-barcelona-vila-olimpica-800.webp 800w"",""width"":""800""}"
HOME,es,868,"{""tag"":""img"",""line"":868,""alt"":""Skateboard de alquiler en RSB en Vila Olímpica, Barcelona"",""decoding"":""async"",""height"":""360"",""loading"":""lazy"",""sizes"":""(max-width: 640px) 92vw, (max-width: 1024px) 44vw, 420px"",""src"":""https://rentalscooterbarcelona.com/images/rsb-skateboard-rental-barcelona-vila-olimpica-800.webp"",""srcset"":""https://rentalscooterbarcelona.com/images/rsb-skateboard-rental-barcelona-vila-olimpica-480.webp 480w, https://rentalscooterbarcelona.com/images/rsb-skateboard-rental-barcelona-vila-olimpica-800.webp 800w"",""width"":""800""}"
HOME,es,896,"{""tag"":""img"",""line"":896,""alt"":""Longboard de alquiler en RSB en Vila Olímpica, Barcelona"",""decoding"":""async"",""height"":""478"",""loading"":""lazy"",""sizes"":""(max-width: 640px) 92vw, (max-width: 1024px) 44vw, 420px"",""src"":""https://rentalscooterbarcelona.com/images/rsb-longboard-rental-barcelona-vila-olimpica-800.webp"",""srcset"":""https://rentalscooterbarcelona.com/images/rsb-longboard-rental-barcelona-vila-olimpica-480.webp 480w, https://rentalscooterbarcelona.com/images/rsb-longboard-rental-barcelona-vila-olimpica-800.webp 800w"",""width"":""800""}"
HOME,es,1154,"{""tag"":""img"",""line"":1154,""alt"":""Persona llevando patines en línea en Vila Olímpica, Barcelona"",""height"":""600"",""loading"":""lazy"",""src"":""https://rentalscooterbarcelona.com/images/9.webp"",""width"":""800""}"
HOME,es,1155,"{""tag"":""img"",""line"":1155,""alt"":""Longboards y cascos expuestos dentro de la tienda RSB en Vila Olímpica, Barcelona"",""height"":""600"",""loading"":""lazy"",""src"":""https://rentalscooterbarcelona.com/images/skateboards-rental-barcelona.webp"",""width"":""800""}"
HOME,es,1156,"{""tag"":""img"",""line"":1156,""alt"":""Entrega de scooter 125cc de RSB en Barcelona"",""height"":""600"",""loading"":""lazy"",""src"":""https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-scooter-barcelona.webp"",""width"":""800""}"
HOME,es,1157,"{""tag"":""img"",""line"":1157,""alt"":""Cliente alquilando patines en línea en RSB en Vila Olímpica, Barcelona"",""height"":""600"",""loading"":""lazy"",""src"":""https://rentalscooterbarcelona.com/images/2.webp"",""width"":""800""}"
HOME,es,1158,"{""tag"":""img"",""line"":1158,""alt"":""Tres personas haciendo longboard por el paseo marítimo de la Barceloneta al atardecer, Barcelona"",""height"":""600"",""loading"":""lazy"",""src"":""https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-rsb-villa-olimpica-del-poble-nou--rent-skateboard-barcelona-soleado-800-v1.webp"",""width"":""800""}"
